id_short,obra,n,archivo,inicio_s,zoom,desfase_s,frase_en_pantalla,yt_titulo,yt_descripcion,yt_etiquetas,yt_video_relacionado,tiktok_portada,tiktok_descripcion,estado,fecha_youtube,url_youtube,fecha_tiktok,url_tiktok
OBRA-003-S1,OBRA-003,1,short-1.mp4,90,1.0,0,to fall asleep,To fall asleep · 396 Hz · Ocean Waves,"Save this for tonight.
Full piece (2 h): Sleep Music · Ocean Waves · 396 Hz · Dark Room · 2 Hours

#sleepmusic #sleep #relaxingmusic #396hz #shorts","sleep music, deep sleep, 396 hz, ocean waves, Rin",,396 Hz · sleep,"Save this for tonight. Full 2 h piece on YouTube: Rin.
#sleepmusic #sleep #relaxingmusic #396hz #meditation",pendiente,,,,
OBRA-003-S2,OBRA-003,2,short-2.mp4,1861,1.15,9.6,let the day go quiet,Let the day go quiet · 396 Hz · Ocean Waves,"Lights off, volume low.
Full piece (2 h): Sleep Music · Ocean Waves · 396 Hz · Dark Room · 2 Hours

#sleepmusic #sleep #relaxingmusic #396hz #shorts","sleep music, deep sleep, 396 hz, ocean waves, Rin",,396 Hz · night,"Lights off, volume low. Full 2 h piece on YouTube: Rin.
#sleepmusic #sleep #relaxingmusic #396hz #meditation",pendiente,,,,
OBRA-003-S3,OBRA-003,3,short-3.mp4,3632,1.3,19.2,"lights off, breathe slower","Lights off, breathe slower · 396 Hz · Ocean Waves","Stay until your breathing slows.
Full piece (2 h): Sleep Music · Ocean Waves · 396 Hz · Dark Room · 2 Hours

#sleepmusic #sleep #relaxingmusic #396hz #shorts","sleep music, deep sleep, 396 hz, ocean waves, Rin",,396 Hz · rest,"Stay until your breathing slows. Full 2 h piece on YouTube: Rin.
#sleepmusic #sleep #relaxingmusic #396hz #meditation",pendiente,,,,
OBRA-003-S4,OBRA-003,4,short-4.mp4,5404,1.08,28.8,for the hour before sleep,For the hour before sleep · 396 Hz · Ocean Waves,"The quiet hour before sleep.
Full piece (2 h): Sleep Music · Ocean Waves · 396 Hz · Dark Room · 2 Hours

#sleepmusic #sleep #relaxingmusic #396hz #shorts","sleep music, deep sleep, 396 hz, ocean waves, Rin",,396 Hz · dark room,"The quiet hour before sleep. Full 2 h piece on YouTube: Rin.
#sleepmusic #sleep #relaxingmusic #396hz #meditation",pendiente,,,,
OBRA-003-S5,OBRA-003,5,short-5.mp4,7175,1.22,38.4,the house is asleep,The house is asleep · 396 Hz · Ocean Waves,"Send this to someone who can't sleep.
Full piece (2 h): Sleep Music · Ocean Waves · 396 Hz · Dark Room · 2 Hours

#sleepmusic #sleep #relaxingmusic #396hz #shorts","sleep music, deep sleep, 396 hz, ocean waves, Rin",,396 Hz · drift off,"Send this to someone who can't sleep. Full 2 h piece on YouTube: Rin.
#sleepmusic #sleep #relaxingmusic #396hz #meditation",pendiente,,,,
OBRA-004-S1,OBRA-004,1,short-1.mp4,90,1.0,0,to fall asleep,To fall asleep · 528 Hz · Ocean Waves,"Save this for tonight.
Full piece (3 h): Sleep Music · Ocean Waves · 528 Hz · No One Awake · 3 Hours

#sleepmusic #sleep #relaxingmusic #528hz #shorts","sleep music, deep sleep, 528 hz, ocean waves, Rin",,528 Hz · sleep,"Save this for tonight. Full 3 h piece on YouTube: Rin.
#sleepmusic #sleep #relaxingmusic #528hz #meditation",pendiente,,,,
OBRA-004-S2,OBRA-004,2,short-2.mp4,2761,1.15,9.6,let the day go quiet,Let the day go quiet · 528 Hz · Ocean Waves,"Lights off, volume low.
Full piece (3 h): Sleep Music · Ocean Waves · 528 Hz · No One Awake · 3 Hours

#sleepmusic #sleep #relaxingmusic #528hz #shorts","sleep music, deep sleep, 528 hz, ocean waves, Rin",,528 Hz · night,"Lights off, volume low. Full 3 h piece on YouTube: Rin.
#sleepmusic #sleep #relaxingmusic #528hz #meditation",pendiente,,,,
OBRA-004-S3,OBRA-004,3,short-3.mp4,5432,1.3,19.2,"lights off, breathe slower","Lights off, breathe slower · 528 Hz · Ocean Waves","Stay until your breathing slows.
Full piece (3 h): Sleep Music · Ocean Waves · 528 Hz · No One Awake · 3 Hours

#sleepmusic #sleep #relaxingmusic #528hz #shorts","sleep music, deep sleep, 528 hz, ocean waves, Rin",,528 Hz · rest,"Stay until your breathing slows. Full 3 h piece on YouTube: Rin.
#sleepmusic #sleep #relaxingmusic #528hz #meditation",pendiente,,,,
OBRA-004-S4,OBRA-004,4,short-4.mp4,8104,1.08,28.8,for the hour before sleep,For the hour before sleep · 528 Hz · Ocean Waves,"The quiet hour before sleep.
Full piece (3 h): Sleep Music · Ocean Waves · 528 Hz · No One Awake · 3 Hours

#sleepmusic #sleep #relaxingmusic #528hz #shorts","sleep music, deep sleep, 528 hz, ocean waves, Rin",,528 Hz · dark room,"The quiet hour before sleep. Full 3 h piece on YouTube: Rin.
#sleepmusic #sleep #relaxingmusic #528hz #meditation",pendiente,,,,
OBRA-004-S5,OBRA-004,5,short-5.mp4,10775,1.22,38.4,the house is asleep,The house is asleep · 528 Hz · Ocean Waves,"Send this to someone who can't sleep.
Full piece (3 h): Sleep Music · Ocean Waves · 528 Hz · No One Awake · 3 Hours

#sleepmusic #sleep #relaxingmusic #528hz #shorts","sleep music, deep sleep, 528 hz, ocean waves, Rin",,528 Hz · drift off,"Send this to someone who can't sleep. Full 3 h piece on YouTube: Rin.
#sleepmusic #sleep #relaxingmusic #528hz #meditation",pendiente,,,,
OBRA-005-S1,OBRA-005,1,short-1.mp4,90,1.0,0,to fall asleep,To fall asleep · 432 Hz · Ocean Waves,"Save this for tonight.
Full piece (2 h): Sleep Music · Ocean Waves · 432 Hz · Winter Breath · 2 Hours

#sleepmusic #sleep #relaxingmusic #432hz #shorts","sleep music, deep sleep, 432 hz, ocean waves, Rin",,432 Hz · sleep,"Save this for tonight. Full 2 h piece on YouTube: Rin.
#sleepmusic #sleep #relaxingmusic #432hz #meditation",pendiente,,,,
OBRA-005-S2,OBRA-005,2,short-2.mp4,1861,1.15,9.6,let the day go quiet,Let the day go quiet · 432 Hz · Ocean Waves,"Lights off, volume low.
Full piece (2 h): Sleep Music · Ocean Waves · 432 Hz · Winter Breath · 2 Hours

#sleepmusic #sleep #relaxingmusic #432hz #shorts","sleep music, deep sleep, 432 hz, ocean waves, Rin",,432 Hz · night,"Lights off, volume low. Full 2 h piece on YouTube: Rin.
#sleepmusic #sleep #relaxingmusic #432hz #meditation",pendiente,,,,
OBRA-005-S3,OBRA-005,3,short-3.mp4,3632,1.3,19.2,"lights off, breathe slower","Lights off, breathe slower · 432 Hz · Ocean Waves","Stay until your breathing slows.
Full piece (2 h): Sleep Music · Ocean Waves · 432 Hz · Winter Breath · 2 Hours

#sleepmusic #sleep #relaxingmusic #432hz #shorts","sleep music, deep sleep, 432 hz, ocean waves, Rin",,432 Hz · rest,"Stay until your breathing slows. Full 2 h piece on YouTube: Rin.
#sleepmusic #sleep #relaxingmusic #432hz #meditation",pendiente,,,,
OBRA-005-S4,OBRA-005,4,short-4.mp4,5404,1.08,28.8,for the hour before sleep,For the hour before sleep · 432 Hz · Ocean Waves,"The quiet hour before sleep.
Full piece (2 h): Sleep Music · Ocean Waves · 432 Hz · Winter Breath · 2 Hours

#sleepmusic #sleep #relaxingmusic #432hz #shorts","sleep music, deep sleep, 432 hz, ocean waves, Rin",,432 Hz · dark room,"The quiet hour before sleep. Full 2 h piece on YouTube: Rin.
#sleepmusic #sleep #relaxingmusic #432hz #meditation",pendiente,,,,
OBRA-005-S5,OBRA-005,5,short-5.mp4,7175,1.22,38.4,the house is asleep,The house is asleep · 432 Hz · Ocean Waves,"Send this to someone who can't sleep.
Full piece (2 h): Sleep Music · Ocean Waves · 432 Hz · Winter Breath · 2 Hours

#sleepmusic #sleep #relaxingmusic #432hz #shorts","sleep music, deep sleep, 432 hz, ocean waves, Rin",,432 Hz · drift off,"Send this to someone who can't sleep. Full 2 h piece on YouTube: Rin.
#sleepmusic #sleep #relaxingmusic #432hz #meditation",pendiente,,,,
OBRA-006-S1,OBRA-006,1,short-1.mp4,90,1.0,0,to fall asleep,To fall asleep · 417 Hz · Ocean Waves,"Save this for tonight.
Full piece (90 min): Sleep Music · Ocean Waves · 417 Hz · Before Dawn · 90 Minutes

#sleepmusic #sleep #relaxingmusic #417hz #shorts","sleep music, deep sleep, 417 hz, ocean waves, Rin",,417 Hz · sleep,"Save this for tonight. Full 90 min piece on YouTube: Rin.
#sleepmusic #sleep #relaxingmusic #417hz #meditation",pendiente,,,,
OBRA-006-S2,OBRA-006,2,short-2.mp4,1411,1.15,9.6,let the day go quiet,Let the day go quiet · 417 Hz · Ocean Waves,"Lights off, volume low.
Full piece (90 min): Sleep Music · Ocean Waves · 417 Hz · Before Dawn · 90 Minutes

#sleepmusic #sleep #relaxingmusic #417hz #shorts","sleep music, deep sleep, 417 hz, ocean waves, Rin",,417 Hz · night,"Lights off, volume low. Full 90 min piece on YouTube: Rin.
#sleepmusic #sleep #relaxingmusic #417hz #meditation",pendiente,,,,
OBRA-006-S3,OBRA-006,3,short-3.mp4,2732,1.3,19.2,"lights off, breathe slower","Lights off, breathe slower · 417 Hz · Ocean Waves","Stay until your breathing slows.
Full piece (90 min): Sleep Music · Ocean Waves · 417 Hz · Before Dawn · 90 Minutes

#sleepmusic #sleep #relaxingmusic #417hz #shorts","sleep music, deep sleep, 417 hz, ocean waves, Rin",,417 Hz · rest,"Stay until your breathing slows. Full 90 min piece on YouTube: Rin.
#sleepmusic #sleep #relaxingmusic #417hz #meditation",pendiente,,,,
OBRA-006-S4,OBRA-006,4,short-4.mp4,4054,1.08,28.8,for the hour before sleep,For the hour before sleep · 417 Hz · Ocean Waves,"The quiet hour before sleep.
Full piece (90 min): Sleep Music · Ocean Waves · 417 Hz · Before Dawn · 90 Minutes

#sleepmusic #sleep #relaxingmusic #417hz #shorts","sleep music, deep sleep, 417 hz, ocean waves, Rin",,417 Hz · dark room,"The quiet hour before sleep. Full 90 min piece on YouTube: Rin.
#sleepmusic #sleep #relaxingmusic #417hz #meditation",pendiente,,,,
OBRA-006-S5,OBRA-006,5,short-5.mp4,5375,1.22,38.4,the house is asleep,The house is asleep · 417 Hz · Ocean Waves,"Send this to someone who can't sleep.
Full piece (90 min): Sleep Music · Ocean Waves · 417 Hz · Before Dawn · 90 Minutes

#sleepmusic #sleep #relaxingmusic #417hz #shorts","sleep music, deep sleep, 417 hz, ocean waves, Rin",,417 Hz · drift off,"Send this to someone who can't sleep. Full 90 min piece on YouTube: Rin.
#sleepmusic #sleep #relaxingmusic #417hz #meditation",pendiente,,,,
OBRA-007-S1,OBRA-007,1,short-1.mp4,90,1.0,0,to fall asleep,To fall asleep · 396 Hz · Ocean Waves,"Save this for tonight.
Full piece (2 h): Sleep Music · Ocean Waves · 396 Hz · Slow Weight · 2 Hours

#sleepmusic #sleep #relaxingmusic #396hz #shorts","sleep music, deep sleep, 396 hz, ocean waves, Rin",,396 Hz · sleep,"Save this for tonight. Full 2 h piece on YouTube: Rin.
#sleepmusic #sleep #relaxingmusic #396hz #meditation",pendiente,,,,
OBRA-007-S2,OBRA-007,2,short-2.mp4,1861,1.15,9.6,let the day go quiet,Let the day go quiet · 396 Hz · Ocean Waves,"Lights off, volume low.
Full piece (2 h): Sleep Music · Ocean Waves · 396 Hz · Slow Weight · 2 Hours

#sleepmusic #sleep #relaxingmusic #396hz #shorts","sleep music, deep sleep, 396 hz, ocean waves, Rin",,396 Hz · night,"Lights off, volume low. Full 2 h piece on YouTube: Rin.
#sleepmusic #sleep #relaxingmusic #396hz #meditation",pendiente,,,,
OBRA-007-S3,OBRA-007,3,short-3.mp4,3632,1.3,19.2,"lights off, breathe slower","Lights off, breathe slower · 396 Hz · Ocean Waves","Stay until your breathing slows.
Full piece (2 h): Sleep Music · Ocean Waves · 396 Hz · Slow Weight · 2 Hours

#sleepmusic #sleep #relaxingmusic #396hz #shorts","sleep music, deep sleep, 396 hz, ocean waves, Rin",,396 Hz · rest,"Stay until your breathing slows. Full 2 h piece on YouTube: Rin.
#sleepmusic #sleep #relaxingmusic #396hz #meditation",pendiente,,,,
OBRA-007-S4,OBRA-007,4,short-4.mp4,5404,1.08,28.8,for the hour before sleep,For the hour before sleep · 396 Hz · Ocean Waves,"The quiet hour before sleep.
Full piece (2 h): Sleep Music · Ocean Waves · 396 Hz · Slow Weight · 2 Hours

#sleepmusic #sleep #relaxingmusic #396hz #shorts","sleep music, deep sleep, 396 hz, ocean waves, Rin",,396 Hz · dark room,"The quiet hour before sleep. Full 2 h piece on YouTube: Rin.
#sleepmusic #sleep #relaxingmusic #396hz #meditation",pendiente,,,,
OBRA-007-S5,OBRA-007,5,short-5.mp4,7175,1.22,38.4,the house is asleep,The house is asleep · 396 Hz · Ocean Waves,"Send this to someone who can't sleep.
Full piece (2 h): Sleep Music · Ocean Waves · 396 Hz · Slow Weight · 2 Hours

#sleepmusic #sleep #relaxingmusic #396hz #shorts","sleep music, deep sleep, 396 hz, ocean waves, Rin",,396 Hz · drift off,"Send this to someone who can't sleep. Full 2 h piece on YouTube: Rin.
#sleepmusic #sleep #relaxingmusic #396hz #meditation",pendiente,,,,
OBRA-008-S1,OBRA-008,1,short-1.mp4,90,1.0,0,to fall asleep,To fall asleep · 432 Hz · Ocean Waves,"Save this for tonight.
Full piece (3 h): Sleep Music · Ocean Waves · 432 Hz · The Sleeping House · 3 Hours

#sleepmusic #sleep #relaxingmusic #432hz #shorts","sleep music, deep sleep, 432 hz, ocean waves, Rin",,432 Hz · sleep,"Save this for tonight. Full 3 h piece on YouTube: Rin.
#sleepmusic #sleep #relaxingmusic #432hz #meditation",pendiente,,,,
OBRA-008-S2,OBRA-008,2,short-2.mp4,2761,1.15,9.6,let the day go quiet,Let the day go quiet · 432 Hz · Ocean Waves,"Lights off, volume low.
Full piece (3 h): Sleep Music · Ocean Waves · 432 Hz · The Sleeping House · 3 Hours

#sleepmusic #sleep #relaxingmusic #432hz #shorts","sleep music, deep sleep, 432 hz, ocean waves, Rin",,432 Hz · night,"Lights off, volume low. Full 3 h piece on YouTube: Rin.
#sleepmusic #sleep #relaxingmusic #432hz #meditation",pendiente,,,,
OBRA-008-S3,OBRA-008,3,short-3.mp4,5432,1.3,19.2,"lights off, breathe slower","Lights off, breathe slower · 432 Hz · Ocean Waves","Stay until your breathing slows.
Full piece (3 h): Sleep Music · Ocean Waves · 432 Hz · The Sleeping House · 3 Hours

#sleepmusic #sleep #relaxingmusic #432hz #shorts","sleep music, deep sleep, 432 hz, ocean waves, Rin",,432 Hz · rest,"Stay until your breathing slows. Full 3 h piece on YouTube: Rin.
#sleepmusic #sleep #relaxingmusic #432hz #meditation",pendiente,,,,
OBRA-008-S4,OBRA-008,4,short-4.mp4,8104,1.08,28.8,for the hour before sleep,For the hour before sleep · 432 Hz · Ocean Waves,"The quiet hour before sleep.
Full piece (3 h): Sleep Music · Ocean Waves · 432 Hz · The Sleeping House · 3 Hours

#sleepmusic #sleep #relaxingmusic #432hz #shorts","sleep music, deep sleep, 432 hz, ocean waves, Rin",,432 Hz · dark room,"The quiet hour before sleep. Full 3 h piece on YouTube: Rin.
#sleepmusic #sleep #relaxingmusic #432hz #meditation",pendiente,,,,
OBRA-008-S5,OBRA-008,5,short-5.mp4,10775,1.22,38.4,the house is asleep,The house is asleep · 432 Hz · Ocean Waves,"Send this to someone who can't sleep.
Full piece (3 h): Sleep Music · Ocean Waves · 432 Hz · The Sleeping House · 3 Hours

#sleepmusic #sleep #relaxingmusic #432hz #shorts","sleep music, deep sleep, 432 hz, ocean waves, Rin",,432 Hz · drift off,"Send this to someone who can't sleep. Full 3 h piece on YouTube: Rin.
#sleepmusic #sleep #relaxingmusic #432hz #meditation",pendiente,,,,
OBRA-009-S1,OBRA-009,1,short-1.mp4,90,1.0,0,for when your mind won't stop,For when your mind won't stop · 396 Hz · Ocean and Birds,"Save this for the next hard moment.
Full piece (25 min): Music for Anxiety · Ocean and Birds · 396 Hz · Just Exhale · 25 Minutes

#anxietyrelief #calm #relaxingmusic #396hz #shorts","anxiety relief, calming music, 396 hz, ocean and birds, Rin",,396 Hz · calm,"Save this for the next hard moment. Full 25 min piece on YouTube: Rin.
#anxietyrelief #calm #relaxingmusic #396hz #meditation",pendiente,,,,
OBRA-009-S2,OBRA-009,2,short-2.mp4,436,1.15,9.6,breathe out longer than you breathe in,Breathe out longer than you breathe in · 396 Hz · Ocean and Birds,"Headphones on. Exhale slowly.
Full piece (25 min): Music for Anxiety · Ocean and Birds · 396 Hz · Just Exhale · 25 Minutes

#anxietyrelief #calm #relaxingmusic #396hz #shorts","anxiety relief, calming music, 396 hz, ocean and birds, Rin",,396 Hz · exhale,"Headphones on. Exhale slowly. Full 25 min piece on YouTube: Rin.
#anxietyrelief #calm #relaxingmusic #396hz #meditation",pendiente,,,,
OBRA-009-S3,OBRA-009,3,short-3.mp4,782,1.3,19.2,"a pause, just for you","A pause, just for you · 396 Hz · Ocean and Birds","Stay for one full breath.
Full piece (25 min): Music for Anxiety · Ocean and Birds · 396 Hz · Just Exhale · 25 Minutes

#anxietyrelief #calm #relaxingmusic #396hz #shorts","anxiety relief, calming music, 396 hz, ocean and birds, Rin",,396 Hz · pause,"Stay for one full breath. Full 25 min piece on YouTube: Rin.
#anxietyrelief #calm #relaxingmusic #396hz #meditation",pendiente,,,,
OBRA-009-S4,OBRA-009,4,short-4.mp4,1129,1.08,28.8,"slow down, one breath at a time","Slow down, one breath at a time · 396 Hz · Ocean and Birds","A small pause in the middle of the day.
Full piece (25 min): Music for Anxiety · Ocean and Birds · 396 Hz · Just Exhale · 25 Minutes

#anxietyrelief #calm #relaxingmusic #396hz #shorts","anxiety relief, calming music, 396 hz, ocean and birds, Rin",,396 Hz · breathe,"A small pause in the middle of the day. Full 25 min piece on YouTube: Rin.
#anxietyrelief #calm #relaxingmusic #396hz #meditation",pendiente,,,,
OBRA-009-S5,OBRA-009,5,short-5.mp4,1475,1.22,38.4,before you begin,Before you begin · 396 Hz · Ocean and Birds,"Send this to someone who needs a pause.
Full piece (25 min): Music for Anxiety · Ocean and Birds · 396 Hz · Just Exhale · 25 Minutes

#anxietyrelief #calm #relaxingmusic #396hz #shorts","anxiety relief, calming music, 396 hz, ocean and birds, Rin",,396 Hz · slow down,"Send this to someone who needs a pause. Full 25 min piece on YouTube: Rin.
#anxietyrelief #calm #relaxingmusic #396hz #meditation",pendiente,,,,
OBRA-010-S1,OBRA-010,1,short-1.mp4,90,1.0,0,for when your mind won't stop,For when your mind won't stop · 432 Hz · Zen Temple,"Save this for the next hard moment.
Full piece (30 min): Music for Anxiety · Zen Temple · 432 Hz · Slowing Down · 30 Minutes

#anxietyrelief #calm #relaxingmusic #432hz #shorts","anxiety relief, calming music, 432 hz, zen temple, Rin",,432 Hz · calm,"Save this for the next hard moment. Full 30 min piece on YouTube: Rin.
#anxietyrelief #calm #relaxingmusic #432hz #meditation",pendiente,,,,
OBRA-010-S2,OBRA-010,2,short-2.mp4,511,1.15,9.6,breathe out longer than you breathe in,Breathe out longer than you breathe in · 432 Hz · Zen Temple,"Headphones on. Exhale slowly.
Full piece (30 min): Music for Anxiety · Zen Temple · 432 Hz · Slowing Down · 30 Minutes

#anxietyrelief #calm #relaxingmusic #432hz #shorts","anxiety relief, calming music, 432 hz, zen temple, Rin",,432 Hz · exhale,"Headphones on. Exhale slowly. Full 30 min piece on YouTube: Rin.
#anxietyrelief #calm #relaxingmusic #432hz #meditation",pendiente,,,,
OBRA-010-S3,OBRA-010,3,short-3.mp4,932,1.3,19.2,"a pause, just for you","A pause, just for you · 432 Hz · Zen Temple","Stay for one full breath.
Full piece (30 min): Music for Anxiety · Zen Temple · 432 Hz · Slowing Down · 30 Minutes

#anxietyrelief #calm #relaxingmusic #432hz #shorts","anxiety relief, calming music, 432 hz, zen temple, Rin",,432 Hz · pause,"Stay for one full breath. Full 30 min piece on YouTube: Rin.
#anxietyrelief #calm #relaxingmusic #432hz #meditation",pendiente,,,,
OBRA-010-S4,OBRA-010,4,short-4.mp4,1354,1.08,28.8,"slow down, one breath at a time","Slow down, one breath at a time · 432 Hz · Zen Temple","A small pause in the middle of the day.
Full piece (30 min): Music for Anxiety · Zen Temple · 432 Hz · Slowing Down · 30 Minutes

#anxietyrelief #calm #relaxingmusic #432hz #shorts","anxiety relief, calming music, 432 hz, zen temple, Rin",,432 Hz · breathe,"A small pause in the middle of the day. Full 30 min piece on YouTube: Rin.
#anxietyrelief #calm #relaxingmusic #432hz #meditation",pendiente,,,,
OBRA-010-S5,OBRA-010,5,short-5.mp4,1775,1.22,38.4,before you begin,Before you begin · 432 Hz · Zen Temple,"Send this to someone who needs a pause.
Full piece (30 min): Music for Anxiety · Zen Temple · 432 Hz · Slowing Down · 30 Minutes

#anxietyrelief #calm #relaxingmusic #432hz #shorts","anxiety relief, calming music, 432 hz, zen temple, Rin",,432 Hz · slow down,"Send this to someone who needs a pause. Full 30 min piece on YouTube: Rin.
#anxietyrelief #calm #relaxingmusic #432hz #meditation",pendiente,,,,
OBRA-011-S1,OBRA-011,1,short-1.mp4,90,1.0,0,for when your mind won't stop,For when your mind won't stop · 528 Hz · Ocean and Birds,"Save this for the next hard moment.
Full piece (20 min): Music for Anxiety · Ocean and Birds · 528 Hz · Four and Six · 20 Minutes

#anxietyrelief #calm #relaxingmusic #528hz #shorts","anxiety relief, calming music, 528 hz, ocean and birds, Rin",,528 Hz · calm,"Save this for the next hard moment. Full 20 min piece on YouTube: Rin.
#anxietyrelief #calm #relaxingmusic #528hz #meditation",pendiente,,,,
OBRA-011-S2,OBRA-011,2,short-2.mp4,361,1.15,9.6,breathe out longer than you breathe in,Breathe out longer than you breathe in · 528 Hz · Ocean and Birds,"Headphones on. Exhale slowly.
Full piece (20 min): Music for Anxiety · Ocean and Birds · 528 Hz · Four and Six · 20 Minutes

#anxietyrelief #calm #relaxingmusic #528hz #shorts","anxiety relief, calming music, 528 hz, ocean and birds, Rin",,528 Hz · exhale,"Headphones on. Exhale slowly. Full 20 min piece on YouTube: Rin.
#anxietyrelief #calm #relaxingmusic #528hz #meditation",pendiente,,,,
